temp_band,time_of_day,total_rentals
<0C,evening_rush,235.1851851851852
<0C,midday,171.13333333333333
<0C,morning_rush,226.0625
<0C,night,35.343396226415095
0-10C,evening_rush,505.55172413793105
0-10C,midday,313.98873873873873
0-10C,morning_rush,421.13255813953486
0-10C,night,72.29777365491651
10-20C,evening_rush,864.6093366093367
10-20C,midday,497.846921797005
10-20C,morning_rush,557.6212471131639
10-20C,night,134.01845637583892
20-30C,evening_rush,1132.9895287958116
20-30C,midday,722.2730627306273
20-30C,morning_rush,639.8004158004157
20-30C,night,217.61101083032491
>=30C,evening_rush,1149.1410256410256
>=30C,midday,702.9299610894942
>=30C,morning_rush,746.0
>=30C,night,575.8571428571429
