feature,importance
cat__time_of_day_night,0.3825943051905306
num__hour_of_day,0.2558830951466343
num__temp,0.14106296314358852
num__rhum,0.05305090893869381
num__workingday,0.04408638838075897
cat__time_of_day_evening_rush,0.04204929856877575
num__day_of_week,0.020146642740220638
num__atemp,0.01481975292401273
cat__time_of_day_midday,0.014385464351906805
cat__time_of_day_morning_rush,0.0095109249807204
num__wspd,0.008995556129908691
num__is_weekend,0.004721861667056672
cat__season_summer,0.002128471131421422
num__holiday,0.001969078466055229
cat__season_spring,0.0016182301940564974
cat__season_fall,0.0015479761011965624
cat__season_winter,0.0014290819444626197
